bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,20.0,4.47213595499958,,
0.5,14.0,3.7416573867739413,,
1.5,3.0,1.7320508075688772,,
2.5,4.0,2.0,,
3.5,33.0,5.744562646538029,,
4.5,9.0,3.0,,
5.5,19.0,4.358898943540674,,
6.5,7.0,2.6457513110645907,,
7.5,8.0,2.8284271247461903,,
8.5,1.0,1.0,,
9.5,0.0,0.0,,
10.5,1.0,1.0,,
11.5,0.0,0.0,,
12.5,0.0,0.0,,
13.5,4.0,2.0,,
14.5,2.0,1.4142135623730951,,
15.5,0.0,0.0,,
16.5,6.0,2.449489742783178,,
17.5,0.0,0.0,,
18.5,0.0,0.0,,
19.5,0.0,0.0,,
20.5,1.0,1.0,,
21.5,0.0,0.0,,
22.5,0.0,0.0,,
23.5,1.0,1.0,,
24.5,0.0,0.0,,
