bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,hamming distance,
-0.5,0.665,0.05766281297335398,hamming distance,
0.5,0.20500000000000002,0.032015621187164243,hamming distance,
1.5,0.075,0.019364916731037084,hamming distance,
2.5,0.025,0.01118033988749895,hamming distance,
3.5,0.0,0.0,hamming distance,
4.5,0.005,0.005,hamming distance,
5.5,0.01,0.007071067811865475,hamming distance,
6.5,0.0,0.0,hamming distance,
7.5,0.01,0.007071067811865475,hamming distance,
8.5,0.0,0.0,hamming distance,
9.5,0.0,0.0,hamming distance,
10.5,0.005,0.005,hamming distance,
11.5,0.0,0.0,hamming distance,
