bin_low_edge,contents,binerror,xtitle,binlabel
-7.5,0.0,0.0,inferred - true,
-6.5,0.02,0.01,inferred - true,
-5.5,0.0,0.0,inferred - true,
-4.5,0.005,0.005,inferred - true,
-3.5,0.04,0.01414213562373095,inferred - true,
-2.5,0.03,0.01224744871391589,inferred - true,
-1.5,0.09,0.021213203435596423,inferred - true,
-0.5,0.73,0.06041522986797286,inferred - true,
0.5,0.07,0.01870828693386971,inferred - true,
1.5,0.01,0.007071067811865475,inferred - true,
2.5,0.005,0.005,inferred - true,
3.5,0.0,0.0,inferred - true,
