v_3p_del,v_gene,count
2,IGHV3-53*02,1
3,IGHV3-74*03,1
0,IGHV1-46*02,1
1,IGHV3-7*02,5
0,IGHV3-7*03,7
0,IGHV3-53*02,4
1,IGHV3-23D*01,3
1,IGHV4/OR15-8*03,1
0,IGHV4-59*09,1
3,IGHV1-2*04,1
0,IGHV3-9*03,3
0,IGHV4/OR15-8*03,2
0,IGHV3-7*02,4
3,IGHV3-23D*01,5
3,IGHV3-64*04,1
1,IGHV3-64*04,5
0,IGHV4-61*02,2
0,IGHV1-69D*01,4
1,IGHV4-61*03,1
0,IGHV3-30*15,1
1,IGHV1-18*04,5
4,IGHV3-66*03,1
0,IGHV3-7*01,10
1,IGHV1-2*04,4
1,IGHV1-69D*01,1
1,IGHV3-64*05,5
2,IGHV3-7*02,1
0,IGHV3-64*04,3
0,IGHV3-NL1*01,14
0,IGHV4-39*07,1
1,IGHV3-30*15,3
0,IGHV4-61*08,1
1,IGHV3-7*01,4
1,IGHV3-53*02,3
6,IGHV3-66*03,1
0,IGHV1/OR15-3*02,2
1,IGHV3-NL1*01,4
0,IGHV3-23D*01,7
0,IGHV4-59*08,2
1,IGHV3-66*03,3
7,IGHV3-NL1*01,5
