v_5p_del,v_gene,count
212,IGHV3-7*01,4
209,IGHV3-64*04,6
233,IGHV1/OR15-3*02,2
206,IGHV3-23D*01,2
206,IGHV1-46*02,1
188,IGHV3-7*01,1
221,IGHV3-74*03,1
227,IGHV3-23D*01,3
227,IGHV3-7*03,3
215,IGHV4-61*03,1
221,IGHV3-64*04,3
200,IGHV3-66*03,5
209,IGHV3-30*15,3
230,IGHV1-18*04,5
203,IGHV3-7*01,3
215,IGHV4-61*08,1
197,IGHV3-7*01,5
209,IGHV3-7*02,3
137,IGHV4-59*09,1
209,IGHV3-53*02,5
215,IGHV3-7*03,4
206,IGHV3-NL1*01,8
215,IGHV1-2*04,5
209,IGHV3-NL1*01,1
215,IGHV3-NL1*01,5
209,IGHV4-61*02,2
221,IGHV3-9*03,3
197,IGHV3-7*02,1
221,IGHV3-30*15,1
209,IGHV4-39*07,1
203,IGHV3-7*02,2
209,IGHV3-23D*01,5
203,IGHV3-53*02,3
212,IGHV3-7*02,1
221,IGHV3-NL1*01,5
203,IGHV4-59*08,2
214,IGHV3-23D*01,5
242,IGHV4/OR15-8*03,3
218,IGHV3-NL1*01,4
215,IGHV3-7*01,1
212,IGHV1-69D*01,5
221,IGHV3-7*02,3
218,IGHV3-64*05,5
