bin_low_edge,contents,binerror,xtitle,binlabel
-0.5,0.0,0.0,,
0.5,1.0,1.0,,IGHD1-1*01
1.5,5.0,2.23606797749979,,IGHD1-26*01
2.5,5.0,2.23606797749979,,IGHD1-7*01
3.5,4.0,2.0,,IGHD2-15*01
4.5,9.0,3.0,,IGHD2-2*02
5.5,7.0,2.6457513110645907,,IGHD2-2*03
6.5,4.0,2.0,,IGHD3-10*01
7.5,10.0,3.1622776601683795,,IGHD3-16*02
8.5,5.0,2.23606797749979,,IGHD3-22*01
9.5,16.0,4.0,,IGHD3-3*01
10.5,5.0,2.23606797749979,,IGHD3-3*02
11.5,3.0,1.7320508075688772,,IGHD3-9*01
12.5,1.0,1.0,,IGHD3/OR15-3b*01
13.5,12.0,3.4641016151377544,,IGHD4-17*01
14.5,2.0,1.4142135623730951,,IGHD4-23*01
15.5,5.0,2.23606797749979,,IGHD5-12*01
16.5,5.0,2.23606797749979,,IGHD5-5*01
17.5,11.0,3.3166247903554,,IGHD6-13*01
18.5,14.0,3.7416573867739413,,IGHD6-19*01
19.5,5.0,2.23606797749979,,IGHD6-25*01
20.5,4.0,2.0,,IGHD7-27*01
21.5,0.0,0.0,,
