bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,57.0,7.54983443527075,,
0.5,8.0,2.8284271247461903,,
1.5,7.0,2.6457513110645907,,
2.5,2.0,1.4142135623730951,,
3.5,6.0,2.449489742783178,,
4.5,3.0,1.7320508075688772,,
5.5,2.0,1.4142135623730951,,
6.5,11.0,3.3166247903554,,
7.5,9.0,3.0,,
8.5,7.0,2.6457513110645907,,
9.5,4.0,2.0,,
10.5,7.0,2.6457513110645907,,
11.5,3.0,1.7320508075688772,,
12.5,1.0,1.0,,
13.5,4.0,2.0,,
14.5,0.0,0.0,,
15.5,2.0,1.4142135623730951,,
16.5,0.0,0.0,,
