v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,count
IGHV3-53*02,IGHD3-10*01,IGHJ4*02,42,203,1,4,12,0,22,0,0,0,0,2
IGHV3-7*03,IGHD4-17*01,IGHJ4*02,51,215,0,7,0,4,22,0,10,8,0,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02,51,215,0,0,11,6,22,0,9,0,0,4
IGHV4-61*03,IGHD3-16*02,IGHJ5*02,48,215,1,0,12,8,22,0,1,0,0,1
IGHV1-18*04,IGHD3-3*02,IGHJ4*02,66,230,1,6,4,6,22,0,10,14,0,2
IGHV3-7*02,IGHD4-23*01,IGHJ5*02,45,209,0,3,0,11,22,0,7,4,0,1
IGHV3-66*03,IGHD2-15*01,IGHJ4*02,39,201,1,18,0,4,22,1,3,0,0,1
IGHV3-64*04,IGHD2-2*02,IGHJ6*03,57,221,1,0,9,8,21,0,1,0,0,1
IGHV4-39*07,IGHD3-16*02,IGHJ5*02,42,209,0,16,9,1,22,0,0,0,0,1
IGHV3-23D*01,IGHD6-19*01,IGHJ5*02,42,206,0,1,5,7,22,0,3,0,0,2
IGHV3-7*01,IGHD6-25*01,IGHJ4*02,39,203,1,4,3,4,22,0,5,0,0,1
IGHV3-23D*01,IGHD6-19*01,IGHJ6*02,51,214,0,0,5,17,22,0,9,0,0,4
IGHV3-64*04,IGHD6-13*01,IGHJ4*02,45,210,1,7,0,5,22,1,0,9,0,1
IGHV1-69D*01,IGHD5-5*01,IGHJ4*02,48,212,0,0,2,0,23,0,1,1,1,2
IGHV4-61*02,IGHD3-10*02,IGHJ5*02,42,210,0,12,5,2,22,1,0,0,0,1
IGHV3-23D*01,IGHD1-26*01,IGHJ3*02,45,209,3,4,3,4,22,0,2,7,0,2
IGHV1-18*04,IGHD3-3*02,IGHJ6*02,66,230,1,6,4,21,22,0,10,14,1,1
IGHV3-64*04,IGHD6-13*01,IGHJ4*02,45,209,1,8,0,4,22,0,1,8,0,1
IGHV1-2*04,IGHD6-19*01,IGHJ4*02,51,215,1,6,3,4,22,0,4,12,0,1
IGHV4/OR15-8*03,IGHD3-9*01,IGHJ6*02,78,242,0,2,0,7,21,0,8,5,0,1
IGHV3-7*02,IGHD1-7*01,IGHJ3*02,48,212,0,0,1,3,22,0,6,1,0,1
IGHV1-18*04,IGHD3-3*02,IGHJ4*02,66,230,1,1,6,4,23,0,5,14,1,1
IGHV1-2*04,IGHD6-19*01,IGHJ4*02,51,215,3,6,2,4,22,0,6,11,0,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02,45,209,0,16,0,5,22,0,1,6,0,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02,54,218,1,0,5,0,22,0,16,0,0,1
IGHV3-64*04,IGHD2-2*02,IGHJ6*03,57,221,3,0,9,8,21,0,3,0,0,1
IGHV1-69D*01,IGHD3-3*02,IGHJ4*02,48,212,0,10,5,0,22,0,3,1,0,1
IGHV3-53*02,IGHD6-13*01,IGHJ4*02,48,209,0,4,4,7,22,0,1,13,0,1
IGHV1-69D*01,IGHD5-5*01,IGHJ4*02,48,212,0,0,2,0,22,0,1,1,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02,42,206,0,16,1,4,22,0,4,0,0,3
IGHV4-59*09,IGHD3-16*02,IGHJ5*02,48,137,0,0,14,6,22,0,0,0,0,1
IGHV4-61*08,IGHD3-16*02,IGHJ4*02,48,215,1,0,12,5,22,0,1,0,0,1
IGHV3-53*02,IGHD6-13*01,IGHJ4*02,48,209,1,2,3,6,22,0,0,11,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02,42,206,0,16,1,6,22,0,4,2,0,2
IGHV3-69-1*02,IGHD1-7*01,IGHJ3*02,48,209,0,0,1,3,22,0,4,1,0,1
IGHV3-9*03,IGHD4-17*01,IGHJ2*01,57,221,0,3,0,4,22,0,1,12,0,1
