v_gene,d_gene,j_gene,cdr3_length,v_5p_del,v_3p_del,d_5p_del,d_3p_del,j_5p_del,j_3p_del,fv_insertion,vd_insertion,dj_insertion,jf_insertion,count
IGHV4-61*02,IGHD3-16*02,IGHJ5*02,42,209,0,16,9,1,22,0,0,0,0,1
IGHV3-7*02,IGHD4-23*01,IGHJ4*02,45,209,0,3,0,5,22,0,7,1,0,2
IGHV3-66*03,IGHD2-15*01,IGHJ4*02,39,200,1,18,1,4,22,0,3,1,0,1
IGHV3-7*01,IGHD6-25*01,IGHJ4*02,39,203,1,4,1,6,22,0,5,0,0,2
IGHV3-7*02,IGHD6-25*01,IGHJ4*02,39,203,1,4,1,6,22,0,7,0,0,2
IGHV4/OR15-8*03,IGHD3-9*01,IGHJ6*02,78,242,1,2,0,7,21,0,9,5,0,1
IGHV3-33*06,IGHD1-26*01,IGHJ3*02,45,209,3,4,3,1,22,0,2,4,0,1
IGHV4/OR15-8*03,IGHD3-9*01,IGHJ6*02,78,243,0,2,0,5,21,1,8,3,0,1
IGHV1-69D*01,IGHD5-5*01,IGHJ4*02,48,212,1,0,2,0,22,0,2,1,0,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ6*02,45,210,1,5,9,5,22,1,2,0,1,1
IGHV3-30*15,IGHD2-2*02,IGHJ6*03,57,221,1,0,9,8,21,0,1,0,0,1
IGHV3-23D*01,IGHD3-16*01,IGHJ3*02,45,209,3,13,7,1,22,0,0,2,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02,42,206,0,4,15,0,22,0,1,1,0,2
IGHV3-NL1*01,IGHD2-2*02,IGHJ6*03,57,221,7,0,9,8,21,0,7,0,0,4
IGHV3-9*03,IGHD4-17*01,IGHJ2*01,57,221,0,3,0,2,22,0,1,10,0,2
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02,54,218,1,1,0,0,22,0,8,4,0,1
IGHV3-53*02,IGHD3-3*01,IGHJ4*02,42,203,2,2,13,0,22,0,0,0,0,1
IGHV3-64*04,IGHD2-2*01,IGHJ6*03,57,221,1,0,2,15,21,0,1,0,0,1
IGHV3-7*02,IGHD2-8*02,IGHJ6*03,33,197,2,13,10,15,22,0,1,0,1,1
IGHV3-7*02,IGHD3-10*01,IGHJ4*02,57,221,1,4,10,1,22,0,7,9,0,1
IGHV3-7*01,IGHD3-3*02,IGHJ6*03,33,197,0,14,10,17,21,0,0,0,0,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03,57,221,7,0,10,7,21,0,7,0,0,1
IGHV1/OR15-3*02,IGHD3-3*01,IGHJ4*02,69,233,0,5,9,0,22,0,13,11,0,2
IGHV3-30*15,IGHD6-13*01,IGHJ4*02,45,209,1,7,0,4,22,0,0,8,0,1
IGHV3-66*03,IGHD2-15*01,IGHJ4*02,39,200,4,19,0,4,22,0,7,0,0,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02,54,219,1,0,5,0,22,1,16,0,0,1
IGHV3-30*15,IGHD6-13*01,IGHJ5*02,45,209,0,8,0,7,22,0,0,8,0,1
IGHV4-59*08,IGHD3-16*02,IGHJ5*02,42,203,0,16,9,1,22,0,0,0,0,2
IGHV3-53*02,IGHD6-13*01,IGHJ4*02,48,209,0,4,3,6,22,0,1,11,0,3
IGHV3-33*06,IGHD6-19*01,IGHJ6*02,51,214,0,0,5,17,22,0,9,0,0,1
IGHV3-7*01,IGHD5-12*01,IGHJ4*02,51,215,0,9,5,4,22,0,11,7,0,1
IGHV3-23D*01,IGHD3-3*01,IGHJ4*02,63,227,2,1,6,0,22,0,6,7,0,1
IGHV3-64*05,IGHD3-3*01,IGHJ4*02,54,218,1,0,9,4,22,0,0,9,0,5
IGHV3-7*03,IGHD4-17*01,IGHJ6*02,63,227,0,3,0,1,21,0,6,2,0,3
IGHV3-64*04,IGHD2-2*03,IGHJ4*02,45,209,0,16,0,4,22,0,1,5,0,1
IGHV1-46*02,IGHD3/OR15-3b*01,IGHJ5*02,42,209,0,3,11,6,22,3,0,0,0,1
IGHV1-18*04,IGHD3-3*02,IGHJ5*02,66,230,1,6,4,5,22,0,10,10,0,1
IGHV3-74*03,IGHD3-10*01,IGHJ4*02,57,222,3,4,10,1,22,1,7,9,0,1
IGHV3-23D*01,IGHD1-26*01,IGHJ3*01,45,209,3,4,3,1,22,0,2,4,0,1
IGHV3-7*01,IGHD7-27*01,IGHJ6*03,33,197,0,6,1,14,21,0,0,0,0,4
IGHV1-2*04,IGHD6-19*01,IGHJ4*02,51,215,1,6,2,4,22,0,4,11,0,2
IGHV3-7*03,IGHD5-12*01,IGHJ4*02,51,215,0,9,5,4,22,0,11,7,0,3
IGHV3-66*03,IGHD2-15*01,IGHJ4*02,39,201,1,18,1,5,22,1,3,2,0,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ4*02,51,215,0,0,13,4,22,0,9,0,0,1
IGHV3-7*01,IGHD5/OR15-5b*01,IGHJ6*02,24,188,1,0,17,24,21,0,0,0,0,1
IGHV3-NL1*01,IGHD2-21*02,IGHJ4*02,54,218,1,13,3,0,22,0,14,1,0,1
IGHV1-2*04,IGHD6-19*01,IGHJ5*02,51,215,1,6,3,6,22,0,4,11,0,1
IGHV3-64*04,IGHD2-2*02,IGHJ4*02,45,209,0,16,0,4,22,0,1,5,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ5*02,42,206,0,3,15,9,22,0,0,7,0,1
IGHV3-66*03,IGHD5-12*01,IGHJ4*02,39,200,1,5,5,4,22,0,1,2,0,1
IGHV3-30*15,IGHD6-19*01,IGHJ4*02,45,209,1,7,0,4,22,0,0,8,0,1
IGHV3-7*02,IGHD3/OR15-3b*01,IGHJ4*02,57,224,1,0,20,1,22,3,6,16,0,2
IGHV3-23D*01,IGHD3-3*01,IGHJ4*02,63,227,2,0,6,0,22,0,5,7,0,2
IGHV3-64*04,IGHD6-13*01,IGHJ4*02,45,209,1,7,0,4,22,0,0,8,0,1
IGHV3-7*01,IGHD1-7*01,IGHJ3*02,48,212,0,0,1,3,22,0,4,1,0,2
IGHV3-7*01,IGHD1-1*01,IGHJ3*02,48,212,0,0,3,0,22,0,4,0,0,1
