dj_insertion,j_gene,count
4,IGHJ4*02,1
14,IGHJ4*02,3
0,IGHJ5*02,10
4,IGHJ3*02,1
0,IGHJ6*02,7
2,IGHJ4*02,4
9,IGHJ4*02,8
7,IGHJ3*02,2
14,IGHJ6*02,1
2,IGHJ3*02,1
13,IGHJ4*02,1
5,IGHJ4*02,2
3,IGHJ6*02,1
4,IGHJ3*01,1
10,IGHJ5*02,1
1,IGHJ3*02,4
12,IGHJ2*01,1
0,IGHJ3*02,1
2,IGHJ6*02,3
0,IGHJ4*02,21
4,IGHJ5*02,1
0,IGHJ6*03,15
11,IGHJ4*02,9
7,IGHJ5*02,1
10,IGHJ2*01,2
16,IGHJ4*02,2
6,IGHJ4*02,1
8,IGHJ5*02,1
8,IGHJ4*02,5
5,IGHJ6*02,2
7,IGHJ4*02,7
11,IGHJ5*02,1
1,IGHJ4*02,11
12,IGHJ4*02,1
