d_3p_del,d_gene,count
5,IGHD3-10*02,1
6,IGHD3-3*01,3
9,IGHD3-3*01,7
0,IGHD6-19*01,1
1,IGHD1-7*01,4
0,IGHD4-17*01,8
0,IGHD2-15*01,3
12,IGHD3-16*02,2
15,IGHD3-3*01,3
0,IGHD2-2*02,1
9,IGHD3-16*02,4
1,IGHD2-2*03,5
1,IGHD6-25*01,4
4,IGHD3-3*02,4
5,IGHD3-3*02,1
5,IGHD5-12*01,5
4,IGHD6-13*01,1
5,IGHD6-19*01,7
10,IGHD2-8*02,1
5,IGHD4-17*01,2
3,IGHD2-21*02,1
13,IGHD3-3*01,1
0,IGHD3-9*01,3
9,IGHD5-5*01,1
3,IGHD6-13*01,4
11,IGHD3-22*01,4
20,IGHD3/OR15-3b*01,2
10,IGHD3-10*01,2
9,IGHD2-2*02,7
2,IGHD5-5*01,4
0,IGHD4-23*01,3
3,IGHD6-25*01,1
2,IGHD6-19*01,3
3,IGHD1-26*01,4
3,IGHD1-1*01,1
3,IGHD6-19*01,2
1,IGHD7-27*01,4
6,IGHD3-3*02,1
10,IGHD3-3*02,1
7,IGHD3-16*01,1
11,IGHD3/OR15-3b*01,1
0,IGHD6-13*01,5
14,IGHD3-16*02,1
2,IGHD2-2*01,1
13,IGHD3-22*01,1
1,IGHD2-15*01,2
12,IGHD3-10*01,2
17,IGHD5/OR15-5b*01,1
0,IGHD2-2*03,1
10,IGHD2-2*03,1
